restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating
Old Wang's Ancient City Restaurant,Chengdu,30.997217,103.616294,42.0,Chinese Restaurant;Chinese Restaurant,17:00,21:00,Nan Bridge,"103.615948,30.996316",30.996316,103.615948,3.7
Extraordinary Restaurant (Tianfu Software Park Branch),Chengdu,30.541196,104.074985,16.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Vienna International Hotel · Chengdu Global Center New Exhibition Center Branch,"104.077068,30.547706",30.547706,104.077068,3.9
China Construction · Jinjiang Metropolo Hotel (Chengdu Chunxi Road Taikoo Li Branch) · Restaurant,Chengdu,30.647139,104.069400,100.0,Food Service Related;Food Service Related,11:00,21:00,Chengdu Taihe International Hotel (Chunxi Road Taikoo Li Branch),"104.068740,30.647345",30.647345,104.068740,3.9
Pinzhen Chinese Restaurant (Wanda Ruihua Center Branch),Chengdu,30.647015,104.069616,228.0,Food Service Related;Food Service Related,12:00,14:30,Chengdu Taihe International Hotel (Chunxi Road Taikoo Li Branch),"104.068740,30.647345",30.647345,104.068740,4.2
Yue Rong Chun Fusion Restaurant (Fortune Pivot Tower Branch),Chengdu,30.648531,104.068181,98.0,Chinese Restaurant;Chinese Restaurant,17:00,22:00,Chengdu Taihe International Hotel (Chunxi Road Taikoo Li Branch),"104.068740,30.647345",30.647345,104.068740,4.6
Sanmei Restaurant (Yuxin Jiayuan Branch),Chengdu,30.639109,104.062506,100.0,Chinese Restaurant;Chinese Restaurant,08:00,21:30,Home Inn (Chengdu Huaxi Medical University Telecom Road Branch),"104.063549,30.638726",30.638726,104.063549,4.2
South Gate Huang Niang Sweet and Spicy (No Branches),Chengdu,30.634946,104.061805,39.0,Chinese Restaurant;Chinese Restaurant,11:30,19:30,Home Inn (Chengdu Huaxi Medical University Telecom Road Branch),"104.063549,30.638726",30.638726,104.063549,4.5
Sabaidee High-altitude Garden Bar (Chengdu Huaxi Building Branch),Chengdu,30.636920,104.068160,100.0,Foreign Restaurant;Foreign Restaurant,11:00,01:00,Home Inn (Chengdu Huaxi Medical University Telecom Road Branch),"104.063549,30.638726",30.638726,104.063549,3.9
Chengdu Longquanyi Baoyue Hilton Hotel - Royal Seal Chinese Restaurant,Chengdu,30.577264,104.186171,150.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Hilton Chengdu Longquanyi Baoyue Hotel,"104.186056,30.577312",30.577312,104.186056,4.0
Longquanyi Baoyue Hilton Hotel - Open Western Restaurant,Chengdu,30.577615,104.185694,176.0,Chinese Restaurant;Chinese Restaurant,08:00,22:00,Hilton Chengdu Longquanyi Baoyue Hotel,"104.186056,30.577312",30.577312,104.186056,4.4
Happy Seven Music Restaurant Bar,Chengdu,30.577756,104.184624,100.0,Chinese Restaurant;Chinese Restaurant,16:30,02:00,Hilton Chengdu Longquanyi Baoyue Hotel,"104.186056,30.577312",30.577312,104.186056,4.3
Jinshe Courtyard Family Cuisine,Chengdu,30.635941,104.104694,60.0,Chinese Restaurant;Chinese Restaurant,17:00,21:00,Atour Hotel Chengdu Jiuyanqiao NetEase Yanxuan,"104.107025,30.635299",30.635299,104.107025,4.2
Green Chinese Restaurant (Global Mall Branch),Chengdu,30.634241,104.109328,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Atour Hotel Chengdu Jiuyanqiao NetEase Yanxuan,"104.107025,30.635299",30.635299,104.107025,3.7
Sanyouji Chinese Restaurant (Global Harbor Branch),Chengdu,30.634097,104.109324,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Atour Hotel Chengdu Jiuyanqiao NetEase Yanxuan,"104.107025,30.635299",30.635299,104.107025,3.6
Yi Dian Wei Restaurant (Global Mall Branch),Chengdu,30.633947,104.109599,100.0,Fast Food Restaurant;Fast Food Restaurant,11:00,21:00,Atour Hotel Chengdu Jiuyanqiao NetEase Yanxuan,"104.107025,30.635299",30.635299,104.107025,4.0
Chengdu Halo Shopping Center Restaurant,Chengdu,30.635375,104.111175,100.0,Chinese Restaurant;Chinese Restaurant,10:00,22:00,Atour Hotel Chengdu Jiuyanqiao NetEase Yanxuan,"104.107025,30.635299",30.635299,104.107025,3.5
Zhenwei Smart Restaurant,Chengdu,30.756072,103.967336,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Hengshang Boutique Hotel (Xipu Metro Station Night Market Food Street Branch),"103.961986,30.754210",30.754210,103.961986,3.9
Suining Restaurant (Youjiadu Community No. 2 Courtyard Branch),Chengdu,30.672299,103.831807,52.0,Chinese Restaurant;Sichuan Cuisine,09:30,21:30,Orange Hotel Chengdu Wenjiang University Town,"103.835292,30.674695",30.674695,103.835292,4.0
Ah Niu Restaurant (Youjiadu Community No. 3 Courtyard Branch),Chengdu,30.672220,103.831123,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Orange Hotel Chengdu Wenjiang University Town,"103.835292,30.674695",30.674695,103.835292,4.0
Celebrity First Hotel Chinese Restaurant · Fusion Sichuan Cuisine,Chengdu,30.681120,103.829382,68.0,Chinese Restaurant;Sichuan Cuisine,08:00,20:00,Orange Hotel Chengdu Wenjiang University Town,"103.835292,30.674695",30.674695,103.835292,4.2
Yaomei Dai Flavor Restaurant (Liunan Fifth Road No.138 Courtyard Branch),Chengdu,30.682037,103.828896,15.0,Food Service Related;Food Service Related,10:00,23:00,Orange Hotel Chengdu Wenjiang University Town,"103.835292,30.674695",30.674695,103.835292,3.9
Brother Jun Restaurant,Chengdu,30.682826,103.829293,100.0,Food Service Related;Food Service Related,10:00,22:15,Orange Hotel Chengdu Wenjiang University Town,"103.835292,30.674695",30.674695,103.835292,4.2
Cherry Garden on the Roof (East Yulong Street Branch),Chengdu,30.664322,104.081163,80.0,Chinese Restaurant;Chinese Restaurant,10:00,22:00,Atour Hotel Chengdu Chunxi Road Taisheng South Road Metro Station,"104.080344,30.664720",30.664720,104.080344,4.6
Qingji Restaurant,Chengdu,30.665329,104.079122,12.0,Chinese Restaurant;Chinese Restaurant,08:00,21:00,Atour Hotel Chengdu Chunxi Road Taisheng South Road Metro Station,"104.080344,30.664720",30.664720,104.080344,4.1
Sunset and You Western Restaurant,Chengdu,30.664957,104.082219,88.0,Foreign Restaurant;Western Restaurant,11:00,21:30,Atour Hotel Chengdu Chunxi Road Taisheng South Road Metro Station,"104.080344,30.664720",30.664720,104.080344,4.0
Haichuan Express Restaurant,Chengdu,30.662892,104.081191,100.0,Chinese Restaurant;Chinese Restaurant,10:00,22:00,Atour Hotel Chengdu Chunxi Road Taisheng South Road Metro Station,"104.080344,30.664720",30.664720,104.080344,3.7
Date Pavilion Garden Didi Buffet,Chengdu,30.666931,104.081092,100.0,Chinese Restaurant;Chinese Restaurant,11:00,15:00,Atour Hotel Chengdu Chunxi Road Taisheng South Road Metro Station,"104.080344,30.664720",30.664720,104.080344,4.5
Xiaoxide Chinese Restaurant,Chengdu,30.683800,104.048595,100.0,Chinese Restaurant;Chinese Restaurant,17:00,22:00,Home Inn Chengdu Kuanzhai Alley Huapai Square Metro Station Branch,"104.048186,30.683349",30.683349,104.048186,3.8
Yidianwei Restaurant (Huapaifang Metro Exit B Branch),Chengdu,30.683651,104.047447,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Home Inn Chengdu Kuanzhai Alley Huapai Square Metro Station Branch,"104.048186,30.683349",30.683349,104.048186,4.1
Kuaitianxia Self-service Restaurant (Huapaifang Branch),Chengdu,30.683628,104.047169,25.0,Chinese Restaurant;Chinese Restaurant,08:00,21:00,Home Inn Chengdu Kuanzhai Alley Huapai Square Metro Station Branch,"104.048186,30.683349",30.683349,104.048186,4.2
Tongxuan Restaurant,Chengdu,30.682463,104.048878,100.0,Food Service Related;Food Service Related,11:00,21:00,Home Inn Chengdu Kuanzhai Alley Huapai Square Metro Station Branch,"104.048186,30.683349",30.683349,104.048186,3.8
Shen Xiaofu Chengdu Flavor Rice Noodle Restaurant (Global Plaza Branch),Chengdu,30.681937,104.047535,14.0,Chinese Restaurant;Local Specialty Restaurant|Chinese Restaurant;Sichuan Cuisine,09:30,21:30,Home Inn Chengdu Kuanzhai Alley Huapai Square Metro Station Branch,"104.048186,30.683349",30.683349,104.048186,4.2
Yue Kitchen Chinese Restaurant,Chengdu,30.664887,104.066128,123.0,Chinese Restaurant;Chinese Restaurant,17:30,22:00,Sheraton Chengdu Lido Hotel,"104.066480,30.665030",30.665030,104.066480,4.2
Zhuanxiang Art Restaurant,Chengdu,30.663340,104.066150,118.0,Chinese Restaurant;Chinese Restaurant,10:00,21:00,Sheraton Chengdu Lido Hotel,"104.066480,30.665030",30.665030,104.066480,4.4
Chengdu Dorsett Hotel - Yue Rong Western Restaurant,Chengdu,30.667340,104.067325,115.0,Foreign Restaurant;Foreign Restaurant,17:30,21:00,Sheraton Chengdu Lido Hotel,"104.066480,30.665030",30.665030,104.066480,4.3
The Ritz-Carlton Hotel Lixuan Chinese Restaurant,Chengdu,30.663907,104.070124,336.0,Chinese Restaurant;Chinese Restaurant,17:30,21:00,Sheraton Chengdu Lido Hotel,"104.066480,30.665030",30.665030,104.066480,4.5
Xianghui All-day Buffet Restaurant,Chengdu,30.663820,104.070130,271.0,Foreign Restaurant;Foreign Restaurant,07:00,22:00,Sheraton Chengdu Lido Hotel,"104.066480,30.665030",30.665030,104.066480,4.1
Shuyun Time Self-Service Restaurant,Chengdu,30.433527,104.081427,100.0,Chinese Restaurant;Chinese Restaurant,10:00,20:00,Four Points by Sheraton Chengdu Tianfu New Area,"104.081918,30.433700",30.433700,104.081918,4.1
Chuan Shanyu Qiu · Fusion Cuisine Restaurant,Chengdu,30.435810,104.082060,39.0,Food Service Related;Food Service Related,11:00,21:00,Four Points by Sheraton Chengdu Tianfu New Area,"104.081918,30.433700",30.433700,104.081918,4.5
Lihua Mingju Cantonese Cuisine Chinese Restaurant (China Railway Tianyuan Excellence Plaza Branch),Chengdu,30.432674,104.084762,100.0,Food Service Related;Food Service Related,10:00,22:00,Four Points by Sheraton Chengdu Tianfu New Area,"104.081918,30.433700",30.433700,104.081918,4.0
Lanting Banquet (Guanghui Branch),Chengdu,30.436513,104.081416,296.0,Chinese Restaurant;Chinese Restaurant,11:00,22:30,Four Points by Sheraton Chengdu Tianfu New Area,"104.081918,30.433700",30.433700,104.081918,4.5
Soma Buckwheat Village Chinese Restaurant (Tianfu New District Guanghui Branch),Chengdu,30.437762,104.084593,29.0,Chinese Restaurant;Chinese Restaurant,09:00,21:30,Four Points by Sheraton Chengdu Tianfu New Area,"104.081918,30.433700",30.433700,104.081918,4.3
Chengdu Pagerson · All-Day Dining Restaurant,Chengdu,30.682205,104.040714,100.0,Foreign Restaurant;Japanese Cuisine,11:00,21:00,Chengdu Qiyashang International Hotel (Kuanzhai Alley Branch),"104.040873,30.682246",30.682246,104.040873,3.6
Qiya Shang Chinese Restaurant,Chengdu,30.682621,104.040158,180.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Chengdu Qiyashang International Hotel (Kuanzhai Alley Branch),"104.040873,30.682246",30.682246,104.040873,4.1
Hongyuan Black Tent Tibetan Restaurant (Fuqin Northwest Street No. 6 Courtyard Branch),Chengdu,30.680798,104.043594,55.0,Chinese Restaurant;Chinese Restaurant,09:00,23:00,Chengdu Qiyashang International Hotel (Kuanzhai Alley Branch),"104.040873,30.682246",30.682246,104.040873,4.3
Xiuli Garden Restaurant (Fuqin Branch),Chengdu,30.673265,104.040653,68.0,Food Service Related;Food Service Related,10:00,21:00,Home Inn · Neo (Chengdu Kuanzhai Alley Fuxin Night Market Branch),"104.042128,30.676929",30.676929,104.042128,4.3
Yinla Tibetan Restaurant (Fuqinyuan Branch),Chengdu,30.680634,104.043539,100.0,Chinese Restaurant;西北菜,11:00,21:00,Home Inn · Neo (Chengdu Kuanzhai Alley Fuxin Night Market Branch),"104.042128,30.676929",30.676929,104.042128,3.9
Hilton Hampton Western Restaurant,Chengdu,30.649374,103.995084,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Hampton by Hilton Chengdu Wuhou Waishuangnan,"103.994865,30.649418",30.649418,103.994865,4.0
Green Tea Restaurant (Chengdu Longfor Jinnan Paradise Walk Branch),Chengdu,30.648380,103.995552,55.0,Chinese Restaurant;Jiangsu Cuisine,11:00,21:30,Hampton by Hilton Chengdu Wuhou Waishuangnan,"103.994865,30.649418",30.649418,103.994865,4.5
Jiao Nan Street · Thai Restaurant (Golden Nan Street Branch),Chengdu,30.648275,103.995925,61.0,Foreign Restaurant;Foreign Restaurant,16:30,21:30,Hampton by Hilton Chengdu Wuhou Waishuangnan,"103.994865,30.649418",30.649418,103.994865,4.3
Hampton by Hilton Hotel - Chinese Restaurant,Chengdu,30.742590,103.990600,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Hampton by Hilton Chengdu Xipu,"103.991105,30.742397",30.742397,103.991105,4.4
Barolo Western Restaurant (Aegean Shopping Park Branch),Chengdu,30.737225,103.991975,80.0,Foreign Restaurant;Italian Restaurant,10:00,22:00,Hampton by Hilton Chengdu Xipu,"103.991105,30.742397",30.742397,103.991105,3.9
Mingdian Xiaoxu Cantonese Bistro · Tea Restaurant,Chengdu,30.737131,103.991939,69.0,Chinese Restaurant;Cantonese Cuisine,10:30,21:30,Hampton by Hilton Chengdu Xipu,"103.991105,30.742397",30.742397,103.991105,4.0
Uncle Sweet Western Restaurant,Chengdu,30.659989,104.078935,97.0,Foreign Restaurant;Western Restaurant,17:00,22:00,Hampton by Hilton Chengdu Chunxi Road Hotel,"104.079319,30.659953",30.659953,104.079319,4.6
Pansun Market,Chengdu,30.659712,104.079623,48.0,Chinese Restaurant;Sichuan Cuisine,17:00,21:30,Hampton by Hilton Chengdu Chunxi Road Hotel,"104.079319,30.659953",30.659953,104.079319,4.5
Chunxi Fang,Chengdu,30.659029,104.078401,36.0,Chinese Restaurant;Chinese Restaurant,10:00,22:30,Hampton by Hilton Chengdu Chunxi Road Hotel,"104.079319,30.659953",30.659953,104.079319,4.7
Cui Niangniang Traditional Hot Pot (Chunxi Road Old Branch),Chengdu,30.661312,104.078075,102.0,Chinese Restaurant;Hot Pot,11:00,01:00,Hampton by Hilton Chengdu Chunxi Road Hotel,"104.079319,30.659953",30.659953,104.079319,4.7
Erhui Sky Garden (Chunxi Road Branch),Chengdu,30.658239,104.079047,53.0,体育休闲服务场所;体育休闲服务场所,11:00,21:00,Hampton by Hilton Chengdu Chunxi Road Hotel,"104.079319,30.659953",30.659953,104.079319,4.7
Hilton Joy City · TC CAFE Yue Rong Sky Restaurant,Chengdu,30.656085,104.064025,250.0,Food Service Related;Food Service Related,06:30,22:00,Hilton Garden Inn Chengdu Lingdi,"104.064055,30.655994",30.655994,104.064055,4.3
Celebrity Jin Hui · Chinese Restaurant,Chengdu,30.654259,104.065470,150.0,Chinese Restaurant;Chinese Restaurant,11:30,21:30,Hilton Garden Inn Chengdu Lingdi,"104.064055,30.655994",30.655994,104.064055,4.8
Kevin's Western Restaurant,Chengdu,30.655996,104.066530,92.0,Foreign Restaurant;Western Restaurant,17:00,21:30,Hilton Garden Inn Chengdu Lingdi,"104.064055,30.655994",30.655994,104.064055,4.6
Green Tea Restaurant (Chengdu Tianfu Hong Branch),Chengdu,30.655767,104.067000,48.0,Chinese Restaurant;Chinese Restaurant,10:00,22:00,Hilton Garden Inn Chengdu Lingdi,"104.064055,30.655994",30.655994,104.064055,4.5
Ding Tai Po Authentic Old Brand Mom's Trotter Shop (Dongchenggen South Street Branch),Chengdu,30.656958,104.060634,29.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Hilton Garden Inn Chengdu Lingdi,"104.064055,30.655994",30.655994,104.064055,4.4
Imperial City Old Mama Hot Pot (Imperial City Branch),Chengdu,30.621677,104.052475,115.0,Chinese Restaurant;Hot Pot,11:00,21:00,Hanting Hotel Chengdu Yulin Life Plaza (Former Zijing Branch),"104.053401,30.619858",30.619858,104.053401,4.7
Good Chocolate Bistro (Changxin Apartment Branch),Chengdu,30.622535,104.055799,77.0,Chinese Restaurant;Chinese Restaurant,10:00,22:00,Hanting Hotel Chengdu Yulin Life Plaza (Former Zijing Branch),"104.053401,30.619858",30.619858,104.053401,4.6
Under the Tree Fish Collection Fresh Fish Restaurant (Tongzilin Branch),Chengdu,30.618419,104.057744,145.0,Chinese Restaurant;Chinese Restaurant,16:30,22:00,Hanting Hotel Chengdu Yulin Life Plaza (Former Zijing Branch),"104.053401,30.619858",30.619858,104.053401,4.2
Siyufang Steak Garden Restaurant (Tongzilin Branch),Chengdu,30.616315,104.055627,110.0,Foreign Restaurant;Western Restaurant,10:00,02:00,Hanting Hotel Chengdu Yulin Life Plaza (Former Zijing Branch),"104.053401,30.619858",30.619858,104.053401,4.2
Dalongyi Folk Music Theme Hotpot (Yulin Branch),Chengdu,30.620370,104.058093,93.0,Chinese Restaurant;Hot Pot,11:00,05:00,Hanting Hotel Chengdu Yulin Life Plaza (Former Zijing Branch),"104.053401,30.619858",30.619858,104.053401,4.6
